DESTINO,ORIGEN,CANTI,FOBDOL,FOBPES
ABW,BOG,1571,7530,30041391
ABW,BOG,30,61,245200
ABW,BOG,30,68,271340
ABW,BOG,84,183,732207
ABW,BOG,447,345413,1356311290
BIH,BOG,1600,272,1087976
BIH,BOG,32960,9098,36378444
BIH,BOG,9900,1188,4750230
AGO,BOG,1,1608,6404935
AGO,BOG,40,1474,5893804
AIA,BOG,2,1481,5734430
ATG,BOG,6,657,2601491
ATG,BOG,10,1791,7087823
ATG,BOG,259,17825,70528456
ATG,BOG,396,10396,41136218
ATG,BOG,12,1323,5233211
ATG,BOG,12,1309,5178766
ATG,BOG,210,3873,15323344
ATG,BOG,276,9199,36399027
SAU,BOG,11,3044,12044377
SAU,BOG,2,736,2912175
SAU,BOG,7,2372,9385435
SAU,BOG,3,744,2943829
SAU,BOG,3,588,2326575
SAU,BOG,210,21,82224
SAU,BOG,5500,860,3367191
SAU,BOG,30001,24099,95375675
SAU,BOG,60,6,23493
SAU,BOG,319,2526,9920736
SAU,BOG,2088,1421,5684310
SAU,BOG,70,7,27408
SAU,BOG,23307,18140,72069744
SAU,BOG,2205,1377,5392645
SAU,BOG,4,11208,44192140
SAU,BOG,4,2248,8865824
SAU,BOG,53,68634,271507868
SAU,BOG,3,11274,43090747
SAU,BOG,1,50,199926
SAU,BOG,3750,1395,5579874
SAU,BOG,800,152,607986
SAU,BOG,1560,1474,5897867
SAU,BOG,500,150,599986
SAU,BOG,109,1630,6519853
SAU,BOG,2846,10472,41705258
SAU,BOG,3960,18596,71075453
SAU,BOG,180,2466,9862594
SAU,BOG,1,4878,19427432
SAU,BOG,6,13693,55391359
SAU,BOG,44004,220790,863959006
SAU,BOG,12960,32374,128949701
SAU,BOG,238,1078,4180295
SAU,BOG,164,877,3400893
SAU,BOG,328,716,2770827
SAU,BOG,138,373,1447143
SAU,BOG,180,1000,3879997
SAU,BOG,398,1592,6176460
SAU,BOG,44,147,560848
SAU,BOG,4288,17672,70501333
SAU,BOG,1577,22374,87647637
SAU,BOG,1276,3412,13208807
SAU,BOG,258,3412,13208768
SAU,BOG,134,3412,13208768
SAU,BOG,1,6000,23937300
SAU,BOG,111,3412,13208768
SAU,BOG,600,156,613484
SAU,BOG,3,288,1127644
SAU,BOG,5,1160,4541899
SAU,BOG,3,336,1315584
SAU,BOG,6,963,3770559
SAU,BOG,6,612,2396243
SAU,BOG,4,928,3633519
SAU,BOG,3797,8480,33200967
ARG,BOG,21710,7235,28934276
ARG,BOG,184,368,1471452
ARG,BOG,20971,3054,12211450
ARG,BOG,3800,1000,4023210
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,1,105,411742
ARG,BOG,2,3969,15806304
ARG,BOG,7000,91000,363948130
ARG,BOG,75,2238,8927815
ARG,BOG,1043,23072,89322482
ARG,BOG,2,15266,60388803
ARG,BOG,600,48993,189675073
ARG,BOG,400,92,367863
ARG,BOG,900,54,215920
ARG,BOG,623,5700,23057754
ARG,BOG,9,89,358285
ARG,BOG,1,2487,9761506
ARG,BOG,9,3545,13940088
ARG,BOG,9,2051,8064916
ARG,BOG,591,490,1930981
ARG,BOG,1,4,17077
ARG,BOG,1,146,576566
ARG,BOG,1,597,2355620
ARG,BOG,8,206,810279
ARG,BOG,3,1572,6208763
ARG,BOG,7,1584,6253737
ARG,BOG,4,598,2349024
ARG,BOG,3,963,3729948
ARG,BOG,1,11541,45962032
ARG,BOG,237,923,3692157
ARG,BOG,2155,1844781,7224103382
AUS,BOG,137680,23242,91240901
AUS,BOG,11680,3270,13039787
AUS,BOG,5200,728,2857961
AUS,BOG,9450,5202,20594989
AUS,BOG,3965,2657,10580308
AUS,BOG,3,799,3054582
AUS,BOG,440,79,310842
AUS,BOG,1800,378,1483941
AUS,BOG,126304,8484,33793443
AUS,BOG,12100,4114,16551486
AUS,BOG,577600,107499,430157783
AUS,BOG,4858,6431,25438998
AUS,BOG,65120,11695,45992427
AUS,BOG,4020,724,2862475
AUS,BOG,300,94,378228
AUS,BOG,632,12954,52401133
AUS,BOG,1,102,412208
AUS,BOG,445,6246,25265190
AUS,BOG,1,1461,5843542
AUS,BOG,5320,958,3814264
AUS,BOG,12,750,2993160
AUS,BOG,800,144,566293
AUS,BOG,31100,5586,21967448
AUS,BOG,56150,14827,59058165
AUS,BOG,340000,69560,277067914
AUS,BOG,5,5,19993
AUS,BOG,270,378,1511437
AUS,BOG,46,19,75972
AUS,BOG,11,5016,19726147
AUS,BOG,3650,1076,4301903
AUS,BOG,31800,6746,26981393
AUS,BOG,252980,49729,198799227
AUS,BOG,175,918,3552055
AUS,BOG,31,26522,103845465
AUS,BOG,48,7222,28476563
AUS,BOG,5,552,2176553
AUS,BOG,8,860,3391794
AUS,BOG,23,2539,10012142
AUS,BOG,78,697,2820327
AUS,BOG,22260,3339,13211622
AUS,BOG,28250,6808,26959594
AUS,BOG,440,568,2245357
AUS,BOG,420,694,2753316
AUS,BOG,750,1328,5251431
AUS,BOG,75,269,1065121
AUS,BOG,19800,2844,11297557
AUS,BOG,1800,378,1495323
AUS,BOG,45,90,357809
AUS,BOG,61,684,2705822
AUS,BOG,360,61,242100
AUS,BOG,7150,1287,5091218
AUS,BOG,43500,14495,57735759
AUS,BOG,319070,72546,288957086
AUS,BOG,110846,40765,159073954
AUS,BOG,26500,5468,21861853
AUS,BOG,63500,12575,50079938
AUS,BOG,2448,6289,24732845
AUS,BOG,961,6418,25392507
AUS,BOG,24075,5290,20642338
AUS,BOG,26850,5997,23883052
AUS,BOG,2600,840,3345300
AUS,BOG,800,200,798176
AUS,BOG,300,75,299316
AUS,BOG,28660,6893,27065102
AUS,BOG,131,8372,33400393
AUS,BOG,4000,138,551874
AUS,BOG,168,913,3512119
AUS,BOG,422,11356,44006500
AUS,BOG,25,164,652134
AUS,BOG,303,3187,12509041
AUS,BOG,277,329,1312366
AUS,BOG,1489,42292,166689269
AUS,BOG,22,301,1199937
AUS,BOG,673,13947,55071854
AUS,BOG,4147,54352,215108573
AUS,BOG,310,4727,18589353
AUS,BOG,110,626,2495464
AUS,BOG,120,993,3960825
AUS,BOG,273,2988,11922611
AUT,BOG,324,751,2992052
AUT,BOG,56,209,831148
AUT,BOG,7520,1278,4949262
AUT,BOG,24480,4182,16191178
AUT,BOG,16000,2603,10302147
AUT,BOG,63200,10794,42766885
AZE,BOG,6,504,2015249
AZE,BOG,7,2064,8252925
AZE,BOG,1,368,1471452
AZE,BOG,2,736,2942903
AZE,BOG,2,496,1983261
AZE,BOG,2,496,1983261
AZE,BOG,2,392,1567416
AZE,BOG,2,256,1023619
AZE,BOG,2,208,831690
AZE,BOG,5080,3509,13881455
AZE,BOG,900,636,2543052
AZE,BOG,1776,1587,6280328
AZE,BOG,2532,2217,8866256
AZE,BOG,600,204,815982
AZE,BOG,6800,1008,4031909
AZE,BOG,52300,8019,32075278
AZE,BOG,7200,1005,4004818
AZE,BOG,50900,7356,29300529
BHS,BOG,775,202,806886
BHS,BOG,2,366,1447383
BHS,BOG,222,4498,17797467
BHS,BOG,36,1220,4825981
BHS,BOG,24,1340,5335754
BHS,BOG,12,351,1398335
BHS,BOG,51,1335,5317354
BHS,BOG,80,5164,20307423
BHS,BOG,32,1120,4404501
BHR,BOG,800,256,1012931
BHR,BOG,732,402,1589668
BHR,BOG,180,65,256398
BHR,BOG,30,432,1709320
BHR,BOG,3312,2170,8680763
BHR,BOG,3605,2105,8397604
BHR,BOG,240,67,268098
BHR,BOG,27,73,289854
BHR,BOG,8,39,154387
BHR,BOG,102,256,1020762
BHR,BOG,4,22,87191
BHR,BOG,250,45,179530
BHR,BOG,11000,1320,5266206
BHR,BOG,108,108,428708
BHR,BOG,2930,900,3586392
BHR,BOG,14125,3531,13826362
BHR,BOG,13045,2692,10763323
BHR,BOG,250,25,98576
BHR,BOG,180,18,70975
BHR,BOG,6696,4350,17152575
BHR,BOG,407,1504,5931066
BHR,BOG,28,212,835922
BRB,BOG,1,0,39
BRB,BOG,4,517,2047069
BRB,BOG,16,2889,11486898
BRB,BOG,448,32266,128355689
BRB,BOG,3889,61076,243153546
BRB,BOG,10,915,3634924
BRB,BOG,12,1416,5626209
BRB,BOG,3511,47030,187326708
BRB,BOG,1,1018,3941949
BEL,BOG,544,15917,62321860
BEL,BOG,88,2659,10589842
BEL,BOG,364,2458,9832579
BEL,BOG,320,956,3823914
BEL,BOG,360,1080,4319903
BEL,BOG,433,3533,14131042
BEL,BOG,11880,16368,64654664
BEL,BOG,16350,2971,11663463
BEL,BOG,656,5576,21438661
BEL,BOG,240,2040,7843412
BEL,BOG,42,65102,260372492
BEL,BOG,58,5440,21668336
BEL,BOG,2415,150,599986
BEL,BOG,163,6673,25654956
BEL,BOG,1323,7173,27578015
BEL,BOG,162300,52501,211222548
BEL,BOG,1200,15708,62823046
BEL,BOG,86895,17038,66961003
BLZ,BOG,2,216,845733
BLZ,BOG,930,19784,77635944
BLZ,BOG,10,310,1213783
BMU,BOG,20,785,3099525
BMU,BOG,42,2383,9410003
BMU,BOG,100,626,2471549
BMU,BOG,49,2808,11087105
BMU,BOG,169,3366,13292405
BMU,BOG,2,2,7107
BLR,BOG,3384,3370,13336260
BLR,BOG,26270,26325,104161232
BLR,BOG,69500,23706,94821986
BLR,BOG,7400,1417,5667872
BLR,BOG,38550,7553,30213280
BLR,BOG,7700,2834,11286256
BLR,BOG,3000,570,2270395
BLR,BOG,640,235,936837
BLR,BOG,9600,3294,13177703
BLR,BOG,12800,2432,9727781
BLR,BOG,53250,17739,70954443
BLR,BOG,85150,16342,65368529
BLR,BOG,8000,1440,5662930
BLR,BOG,53200,9300,36573048
BLR,BOG,1024,3226,12897594
BLR,BOG,80,184,735726
BLR,BOG,11250,1462,5849868
BLR,BOG,8875,2537,10145739
BLR,BOG,2400,335,1338701
BLR,BOG,1200,163,645743
BLR,BOG,10800,1469,5811689
BLR,BOG,140,38,147425
BLR,BOG,314,474,1836809
BLR,BOG,655,345,1337509
BOL,BOG,706,17528,69208588
BOL,BOG,121,5555,21933232
BOL,BOG,80,585,2308711
BOL,BOG,3,41,166259
BOL,BOG,14,95,383406
BOL,BOG,639,2347,9495992
BOL,BOG,985,3650,14765255
BOL,BOG,835,10996,44481320
BOL,BOG,13,45,181428
BOL,BOG,95,377,1525695
BOL,BOG,31,402,1627716
BOL,BOG,70,292,1180800
BOL,BOG,80000,2328,8950718
BOL,BOG,200,31000,121378330
BOL,BOG,32,207,838817
BOL,BOG,273,944,3818647
BOL,BOG,14,59,240407
BOL,BOG,28,2009,7724223
BOL,BOG,4,10729,42010293
BOL,BOG,435,951,3769044
BOL,BOG,5601,12603,50154189
BOL,BOG,494,1234,4872182
BOL,BOG,395,741,2945285
BOL,BOG,27,60,236281
BOL,BOG,161,307,1212138
BOL,BOG,400,763,3029381
BOL,BOG,184,336,1327381
BOL,BOG,74,161,639423
BOL,BOG,78,184,724557
BOL,BOG,6,84,335979
BOL,BOG,126,1259,5014621
BOL,BOG,18,201,799640
BOL,BOG,94,9606,38860204
BOL,BOG,1003,3662,14337052
BOL,BOG,636,51348,206100053
BOL,BOG,384,28678,115121381
BOL,BOG,38400,2843,11246725
BOL,BOG,383,8713,35245840
BOL,BOG,1150,72025,287788938
BOL,BOG,33,2533,9960307
BOL,BOG,40,22000,87799360
BOL,BOG,275,27200,109671316
BOL,BOG,114,2810,11165181
BOL,BOG,2715,100936,401167253
BOL,BOG,1614,57714,228690124
BOL,BOG,54,1321,5273708
BOL,BOG,58,4402,17312048
BOL,BOG,44,3352,13182042
BOL,BOG,3461,153237,608459777
BOL,BOG,74,674,2684324
BOL,BOG,1489,10860,43255097
BOL,BOG,6,236,925608
BOL,BOG,104,3680,14657992
BOL,BOG,458,7665,30322334
BOL,BOG,36,270,1054086
BOL,BOG,25,146,582783
BOL,BOG,29,128,503387
BOL,BOG,243,1679,6617397
BOL,BOG,49,308,1232435
BOL,BOG,166,999,3859476
BOL,BOG,342,1189,4663798
BOL,BOG,214,915,3571236
BOL,BOG,638,1608,6333170
BOL,BOG,103,322,1289545
BOL,BOG,125,390,1558387
BOL,BOG,80,230,911295
BOL,BOG,1587,3779,14976846
BOL,BOG,449,1560,6208747
BOL,BOG,249,775,3078565
BOL,BOG,7,65,259183
BOL,BOG,23,239,920563
BOL,BOG,10,43,171536
BOL,BOG,73,337,1346218
BOL,BOG,69,333,1326325
BOL,BOG,248,2188,8509241
BOL,BOG,92,317,1239109
BOL,BOG,6,34,129647
BOL,BOG,16,99,391080
BOL,BOG,402,1598,6219736
BOL,BOG,33,221,850434
BOL,BOG,84,364,1406427
BOL,BOG,142,456,1823580
BOL,BOG,54,4708,18692639
BOL,BOG,24,566,2217230
BOL,BOG,4,3823,14969942
BOL,BOG,8,950,3720207
BOL,BOG,7,16,62735
BOL,BOG,5,12,48873
BOL,BOG,107,16588,67102150
BOL,BOG,112,5676,22460073
BOL,BOG,109,11032,44627919
BOL,BOG,125,5328,21316543
BOL,BOG,13,6446,26074194
BOL,BOG,546,12519,50364635
BOL,BOG,7,607,2428294
BOL,BOG,6,46,182374
BOL,BOG,82,556,2221683
BOL,BOG,15,94,376746
BOL,BOG,7,19,77669
BOL,BOG,30,148,591516
BOL,BOG,14,72,287799
BOL,BOG,143,401,1603092
BOL,BOG,227,482,1927365
BOL,BOG,5,52,207970
BOL,BOG,20,180,719697
BOL,BOG,6,16,64791
BOL,BOG,5,36,141980
BOL,BOG,58,535,2141055
BOL,BOG,14,364,1464448
BOL,BOG,33680,3180,12719067
BOL,BOG,206,11580,46124638
BOL,BOG,314,14072,56051046
BOL,BOG,34,258,1045285
BOL,BOG,97,648,2621141
BOL,BOG,16,100,406464
BOL,BOG,90,418,1691792
BOL,BOG,22,108,438745
BOL,BOG,59,322,1302399
BOL,BOG,13,55,221921
BOL,BOG,222,480,1942515
BOL,BOG,21,34,138468
BOL,BOG,16,73,293845
BOL,BOG,81,236,954025
BOL,BOG,13,29,116502
BOL,BOG,634,1349,5457366
BOL,BOG,198,848,3430063
BOL,BOG,253,792,3204097
BOL,BOG,9,94,378633
BOL,BOG,93,458,1853641
BOL,BOG,6,22,90532
BOL,BOG,66,635,2567906
BOL,BOG,4,24,96276
BOL,BOG,36,170,689467
BOL,BOG,65,270,1091198
BOL,BOG,19,1591,6434772
BOL,BOG,4,4638,18473372
BOL,BOG,1,1848,7361372
BOL,BOG,130,1434,5479291
BOL,BOG,92,651,2488155
BOL,BOG,2,25,96316
BOL,BOG,36,3339,12926772
BOL,BOG,233,11784,45619231
BOL,BOG,130,1755,6794395
BOL,BOG,838,4014,15987209
BOL,BOG,174,411,1638269
BOL,BOG,559,1536,6127350
BOL,BOG,1356,8520,32986612
BOL,BOG,729,5365,21404295
BOL,BOG,12,87,336352
BOL,BOG,17,124,480834
BOL,BOG,1,15185,58789014
BOL,BOG,440,2140,8449165
BOL,BOG,1233,10161,40184315
BOL,BOG,67,2285,9025853
BOL,BOG,7,188,742543
BOL,BOG,334,4455,17593784
BOL,BOG,110,347,1373482
BOL,BOG,246,1029,4070007
BOL,BOG,25,490,1946827
BOL,BOG,264,5673,22447405
BOL,BOG,23,485,1920136
BOL,BOG,27,569,2250130
BOL,BOG,1586,33354,131960191
BOL,BOG,194,362,1428108
BOL,BOG,9,45,177171
BOL,BOG,68,1418,5608945
BOL,BOG,262,15668,61993408
BOL,BOG,276,13540,53574689
BOL,BOG,10,95,373176
BOL,BOG,1,27,107545
BOL,BOG,10,361,1428232
BOL,BOG,888,116867,462415225
BOL,BOG,319,7057,27632286
BOL,BOG,32,1120,4431571
BOL,BOG,367,5276,20848567
BOL,BOG,292,6095,24115186
BOL,BOG,1,36,143016
BOL,BOG,117,2440,9653307
BOL,BOG,16,1522,6014571
BOL,BOG,2,36,142345
BOL,BOG,5,278,1095917
BOL,BOG,58,2073,8025709
BOL,BOG,33,405,1600106
BOL,BOG,518,3851,14718715
BOL,BOG,25,2450,9910789
BOL,BOG,20,15638,63259150
BOL,BOG,21,2163,8749811
BOL,BOG,1207,9358,37276190
BOL,BOG,300,41661,159230425
BOL,BOG,322,6133,24181814
BOL,BOG,166,2867,11305456
BOL,BOG,9,178,703634
BOL,BOG,168,7077,27905691
BOL,BOG,28,432,1702127
BOL,BOG,1,2410,9502190
BOL,BOG,100,2272,8958564
BOL,BOG,8,341,1342838
BOL,BOG,681,521853,2047628551
BOL,BOG,132,2748,10759602
BOL,BOG,20,354,1386062
BOL,BOG,242,8712,34111226
BOL,BUN,11230,92531,366032996
BOL,BUN,210,8972,35481176
BOL,BUN,779,19356,76320382
BOL,BUN,15,390,1543335
BOL,BUN,3244,20564,81260218
BOL,BUN,56,200,787864
BOL,BUN,463,1600,6265510
BOL,BUN,155,886,3489929
BOL,BUN,299,12018,47329465
BOL,BUN,41,1029,4034470
BOL,BUN,18,470,1880198
BOL,BUN,4409,22325,88024948
BOL,BUN,637,1887,7416984
BOL,BUN,661,8612,33804060
BOL,BUN,1322,5180,20656637
BOL,BUN,49,572,2283440
BOL,BUN,11,264,1035240
BOL,BUN,4,336,1323534
BOL,BUN,3,86,339626
BOL,BUN,20,158,631746
BOL,BUN,50,59,234280
BRA,BOG,205,1142,4483229
BRA,BOG,182500,7858,30894755
BRA,BOG,31,63418,252563181
BRA,BOG,38725,14824,59638053
BRA,BOG,8100,963,3874351
BRA,BOG,21675,7646,29221483
BRA,BOG,41700,1460,5813407
BRA,BOG,4300,1272,5054709
BRA,BOG,31680,3168,12643108
BRA,BOG,5496,23762,92508140
BRA,BOG,474,158400,621841968
BRA,BOG,26100,4327,16942849
BRA,BOG,20,1992,7932264
BRA,BOG,2088,8248,32626516
BRA,BOG,78,213,843394
BRA,BOG,2400,10311,40790661
BRA,BOG,3518,10851,42926045
BRA,BOG,34,1500,5965792
BRA,BOG,1882,9598,38229039
BRA,BOG,361000,40853,164360198
BRA,BOG,584,24628,95346071
BRA,BOG,2066,87128,337311696
BRA,BOG,68,2510,9650166
BRA,BOG,120,3120,12345091
BRA,BOG,7,37503,149990623
BRA,BOG,1536,5963,23545420
BRA,BOG,2,160,638328
BRA,BOG,28935,20541,81804254
BRA,BOG,1,33,130900
BRA,BOG,60,2592,10363058
BRA,BOG,4,1546,6115790
BRA,BOG,14,417,1646541
BRA,BOG,53,1359,5377188
BRA,BOG,7000,1249,4996058
BRA,BOG,13,385,1522935
BRA,BOG,4,1475,5708995
BRA,BOG,1,3763,14885976
BRA,BOG,19,168,664588
BRA,BOG,5,1714,6780378
BRA,BOG,2,536,2120352
BRA,BOG,2,4693,18729200
BRA,BOG,6,502,1985852
BRA,BOG,2,214,846558
BRA,BOG,4,14,55382
BRA,BOG,2,42,166147
BRA,BOG,6,408,1613171
BRA,BOG,10,4418,17477078
BRA,BOG,2,6,23735
BRA,BOG,44,458,1811365
BRA,BOG,2,60,237353
BRA,BOG,4,408,1613999
BRA,BOG,1,20000,79970200
BRA,BOG,1,50,199158
BRA,BOG,97,1075,4109468
BRA,BOG,33,232,888627
BRA,BOG,1,1206,4821913
BRA,BOG,1,38191,152118729
BRA,BOG,1,24456,97412116
BRA,BOG,1,24456,97412116
BRA,BOG,2,15446,61621353
BRA,BOG,81,896,3424557
BRA,BOG,33,232,888627
BRA,BOG,500,1577,6105277
BRA,BOG,2,259772,992861955
BRA,BOG,22325,8596,34293111
BRA,BOG,45,148,592448
BRA,BOG,932,4219,16809408
BRA,BOG,1842,10522,41929513
BRA,BOG,2902,18069,71961624
BRA,BOG,50,156,615972
BRA,BOG,485,11776,46997920
BRA,BOG,4,6737,25901870
BRA,BOG,3,13986,53774243
BRA,BOG,1,272,1075266
BRA,BOG,974,4777,18903657
BRA,BOG,1,138,543990
BRA,BOG,1,338,1334607
BRA,BOG,1,12,48764
BRA,BOG,900,5769,22747340
BRA,BOG,1,10916,43549928
BRA,BOG,6,56,221917
BRA,BOG,4,1008,4028739
BRA,BOG,3,1207,4827121
BRA,BOG,1,21,83409
BRA,BOG,4,694,2774806
BRA,BOG,292,8984,35923334
BRA,BOG,1650,2832,11325780
BRA,BOG,5,5001,19996708
BRA,BOG,30,1582,6324043
BRA,BOG,46,173,693422
BRA,BOG,45,22713,90818517
BRA,BOG,3266,25464,101817859
BRA,BOG,402,4561,18238324
BRA,BOG,36,10378,41498136
BRA,BOG,5,5251,20996776
BRA,BOG,62,5235,20933559
BRA,BOG,1000,300,1180367
BRA,BOG,119,147529,587628264
BRA,BOG,24,85,337716
BRA,BOG,584,2666,10617345
BRA,BOG,96,298,1185192
BRA,BOG,750,4245,16904916
BRA,BOG,653,3797,15123146
BRA,BOG,32,136,541620
BRA,BOG,21,80,319874
BRA,BOG,374,241337,945199873
BRA,BOG,32,400,1582704
BRA,BOG,2,32620,131237432
BRA,BOG,196,355,1404650
BRA,BOG,0,120,478829
BRA,BOG,18,282,1103329
BRA,BOG,5201,4218797,16559499733
BRA,BOG,104173,981,3884787
BGR,BOG,55,15054,60207419
CMR,BOG,67,288,1151836
CAN,BOG,40,56,223020
CAN,BOG,45,17,68193
CAN,BOG,16,22,90522
CAN,BOG,82,1689,6790519
CAN,BOG,172,4149,16410495
CAN,BOG,1154,40906,162720635
CAN,BOG,383,10412,41519576
CAN,BOG,172,3536,14011670
CAN,BOG,415,9799,38778717
CAN,BOG,12,56,218996
CAN,BOG,525,4094,16367901
CAN,BOG,3201,25999,103955662
CAN,BOG,12,102,410590
CAN,BOG,43,991,3947501
CAN,BOG,13,387,1518049
CAN,BOG,25,333,1317500
CAN,BOG,40,155,619300
CAN,BOG,21,83,325626
CAN,BOG,40,1901,7574870
CAN,BOG,8,115,457186
CAN,BOG,30,461,1844913
CAN,BOG,41,621,2471748
CAN,BOG,114,2084,8290286
CAN,BOG,10,16,62812
CAN,BOG,6,56,219843
